src_asn,src_org,src_geo,src_port,last_seen,first_seen,l4_proto,src_ip,dst_ip,dst_asn,dst_org,dst_geo,dst_port,d2s_bytes,s2d_bytes
-1,N/A,N/A,62036,1709720671629,2024-03-06 10:24:31.073+00,TCP,192.168.100.100,40.126.17.135,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Chennai,443,22178,8631
-1,N/A,N/A,52698,1709720677255,2024-03-06 10:24:28.295+00,TCP,192.168.100.100,172.217.166.2,15169,GOOGLE,N/A,443,6213,1157
-1,N/A,N/A,52699,1709720677257,2024-03-06 10:24:28.311+00,TCP,192.168.100.100,172.217.166.2,15169,GOOGLE,N/A,443,6213,1221
-1,N/A,N/A,62441,1709720684210,2024-03-06 10:24:44.112+00,UDP,192.168.100.100,142.250.77.238,15169,GOOGLE,Plainview,443,3862,1680
-1,N/A,N/A,58281,1709720678215,2024-03-06 10:24:15.679+00,TCP,192.168.100.100,35.186.194.58,15169,GOOGLE,Kansas City,443,126,180
-1,N/A,N/A,56820,1709720698793,2024-03-06 10:24:25.522+00,TCP,192.168.100.100,204.79.197.239,8068,MICROSOFT-CORP-MSN-AS-BLOCK,N/A,443,126,60
-1,N/A,N/A,60764,1709720691478,2024-03-06 10:24:51.469+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,351,95
-1,N/A,N/A,64302,1709720699043,2024-03-06 10:24:58.964+00,TCP,192.168.100.100,172.217.194.188,15169,GOOGLE,N/A,443,66,60
-1,N/A,N/A,53888,1709720694535,2024-03-06 10:15:08.184+00,TCP,192.168.100.100,64.233.170.188,15169,GOOGLE,N/A,5228,1704,1620
-1,N/A,N/A,62678,1709720684803,2024-03-06 10:24:29.817+00,TCP,192.168.100.100,140.82.113.26,36459,GITHUB,N/A,443,205,143
-1,N/A,N/A,55142,1709720683627,2024-03-06 10:24:43.619+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,351,95
-1,N/A,N/A,56836,1709720684840,2024-03-06 10:24:44.834+00,TCP,192.168.100.100,204.79.197.239,8068,MICROSOFT-CORP-MSN-AS-BLOCK,N/A,443,66,60
-1,N/A,N/A,61334,1709720694336,2024-03-06 10:24:53.67+00,UDP,192.168.100.100,74.125.130.84,15169,GOOGLE,N/A,443,5120,6935
-1,N/A,N/A,55280,1709720691940,2024-03-06 10:24:51.652+00,TCP,192.168.100.100,20.135.6.9,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Phoenix,443,66,60
-1,N/A,N/A,53072,1709720685351,2024-03-06 10:24:43.661+00,TCP,192.168.100.100,142.250.206.170,15169,GOOGLE,N/A,443,6548,3127
-1,N/A,N/A,55686,1709720701209,2024-03-06 10:24:54.222+00,TCP,192.168.100.100,162.19.138.116,16276,OVH SAS,Frankfurt am Main,443,6208,2234
-1,N/A,N/A,55281,1709720678914,2024-03-06 10:24:38.649+00,TCP,192.168.100.100,20.135.6.9,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Phoenix,443,60,60
-1,N/A,N/A,63299,1709720694550,2024-03-06 10:17:10.548+00,UDP,192.168.100.100,216.58.200.174,15169,GOOGLE,N/A,443,46173,41649
-1,N/A,N/A,62711,1709720681989,2024-03-06 10:24:41.981+00,TCP,192.168.100.100,172.217.161.5,15169,GOOGLE,N/A,443,66,60
-1,N/A,N/A,54640,1709720681506,2024-03-06 10:24:41.496+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,108,76
-1,N/A,N/A,55104,1709720691180,2024-03-06 10:23:17.85+00,TCP,192.168.100.100,52.72.128.194,14618,AMAZON-AES,Ashburn,443,596,744
-1,N/A,N/A,55954,1709720699696,2024-03-06 10:24:56.146+00,TCP,192.168.100.100,52.95.123.112,16509,AMAZON-02,Dublin,443,11939,10229
-1,N/A,N/A,55158,1709720679922,2024-03-06 10:24:39.913+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,135,78
-1,N/A,N/A,63022,1709720685672,2024-03-06 10:24:45.29+00,UDP,192.168.100.100,142.250.207.202,15169,GOOGLE,N/A,443,4329,3633
-1,N/A,N/A,62173,1709720676515,2024-03-06 10:24:36.277+00,TCP,192.168.100.100,20.210.223.40,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Tokyo,443,101,172
-1,N/A,N/A,58232,1709720676969,2024-03-06 10:24:36.961+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,96,96
-1,N/A,N/A,55667,1709720694052,2024-03-06 10:24:53.793+00,TCP,192.168.100.100,23.211.206.146,9498,BHARTI Airtel Ltd.,Mumbai,443,873,1212
-1,N/A,N/A,59922,1709720684494,2024-03-06 10:24:42.018+00,UDP,192.168.100.100,142.250.207.234,15169,GOOGLE,N/A,443,6105,17549
-1,N/A,N/A,52632,1709720667311,2024-03-06 10:24:26.35+00,TCP,192.168.100.100,103.43.90.117,29990,ASN-APPNEX,Singapore,443,5842,31778
-1,N/A,N/A,62722,1709720686188,2024-03-06 10:24:46.181+00,TCP,192.168.100.100,99.86.47.11,16509,AMAZON-02,N/A,443,66,60
-1,N/A,N/A,55806,1709720663345,2024-03-06 10:24:22.94+00,UDP,192.168.100.100,142.250.194.6,15169,GOOGLE,N/A,443,7432,4709
-1,N/A,N/A,52638,1709720667236,2024-03-06 10:24:26.383+00,TCP,192.168.100.100,34.107.140.113,396982,GOOGLE-CLOUD-PLATFORM,Kansas City,443,1152,1348
-1,N/A,N/A,60946,1709720684983,2024-03-06 10:22:44.92+00,TCP,192.168.100.100,157.240.198.2,32934,FACEBOOK,Noida,443,3617,7097
-1,N/A,N/A,57493,1709720687187,2024-03-06 10:15:05.311+00,UDP,192.168.100.100,52.139.251.88,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Singapore,3544,3473,2678
-1,N/A,N/A,55334,1709720667408,2024-03-06 10:24:27.402+00,TCP,192.168.100.100,204.79.197.239,8068,MICROSOFT-CORP-MSN-AS-BLOCK,N/A,443,66,60
-1,N/A,N/A,52290,1709720688668,2024-03-06 10:24:48.643+00,TCP,192.168.100.100,116.119.197.211,9498,BHARTI Airtel Ltd.,N/A,443,74,134
-1,N/A,N/A,53129,1709720663362,2024-03-06 10:24:23.346+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,94,78
-1,N/A,N/A,57164,1709720667985,2024-03-06 10:24:27.816+00,UDP,192.168.100.100,142.250.194.193,15169,GOOGLE,N/A,443,18074,4286
